protein_annotation	regex_label	manual_label	note
Restriction endonuclease, type I, R subunit/Type III, Res subunit	proper	proper	
Erlin-2	proper	proper	
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like	proper	proper	
RPOL_N domain-containing protein	proper	proper	
Predicted permeases	proper	proper	
germin-like protein subfamily 1 member 13	proper	proper	
ATPase WRNIP1 homolog C26H5.02c	proper	proper	
PHB domain-containing protein	proper	proper	
Protein export-enhancing protease (Spore outgrowth)	proper	proper	
EAL domain-containing protein (Putative c-di-GMP-specific phosphodiesterase class I)	proper	proper	
Peptidoglycan-binding ATPase	proper	proper	
ECF sigma factor	proper	proper	
Kelch 2	proper	proper	
Conserved hypothetical phage tail region protein	proper	proper	
IclR-family regulator	proper	proper	
stomatin-like protein 2, mitochondrial	proper	proper	
Mu-like prophage FluMu protein	proper	uninformative	
Enterobacteria phage P1	proper	uninformative	
Guanosine-3	proper	uninformative	guanosine is a base, so this appears to be an incomplete protein description?
Putative GP46 protein	uninformative	uninformative	
BQ2448_5292 protein	proper	uninformative	
Unplaced genomic scaffold SPHSTscaffold_120, whole genome shotgun sequence	uninformative	uninformative	
Contig88, whole genome shotgun sequence	uninformative	uninformative	
uncharacterized protein LOC117647892	uninformative	uninformative	
Bgt-1406	proper	uninformative	
Contig77, whole genome shotgun sequence	uninformative	uninformative	
77ORF016	proper	uninformative	
uncharacterized protein LOC116300872	uninformative	uninformative	
Conserved hypothetical phage-related protein	uninformative	uninformative	
Uncharacterized protein AlNc14C137G7127	uninformative	uninformative	
Putative gp22	uninformative	uninformative	
Phage-related protein, HI1409 family	proper	uninformative	
Putative prophage PSSB64-02, Orf47	proper	uninformative	
MS153	proper	uninformative	
uncharacterized protein LOC108858997	uninformative	uninformative	
Si:dkey-145c18.3	proper	uninformative	this leads back to a zebrafish zinc finger, but I guess we will match better descriptions than this one
uncharacterized protein LOC113791557	uninformative	uninformative	
Unplaced genomic scaffold SPHSTscaffold_122, whole genome shotgun sequence	uninformative	uninformative	
Putative phage protein p11	uninformative	uninformative	
Uncharacterized LOC115059061	proper	uninformative	
uncharacterized protein LOC108267286 isoform X1	proper	uninformative	
Phage-associated protein-like protein	proper	uninformative	
Hypothetical prophage protein	uninformative	uninformative	
Lmo0572 protein	proper	uninformative	
Unnamed product	uninformative	uninformative	
CSON007859 protein	low informative	uninformative	
CO6A3	proper	uninformative	
uncharacterized protein LOC110276786	uninformative	uninformative	
uncharacterized protein LOC108276956 isoform X7	proper	uninformative	
Prophage pi1 protein 03	proper	uninformative	
Intron orf	proper	uninformative	
Glr4129 protein	proper	uninformative	
GP60 protein	uninformative	uninformative	
uncharacterized protein LOC115023694	uninformative	uninformative	
AAEL008591-PA	proper	uninformative	
Uncharacterized protein, YkwD family	proper	uninformative	YkwD is a family of uncharacterized proteins
Uncharacterized protein conserved in bacteria	uninformative	uninformative	
M23 family peptidase	proper	proper	
Centromere protein 3	proper	proper	
DUF5036 domain-containing protein	low informative	low	
tRNA methyltransferase	proper	proper	
20S proteasome core particle subunit beta 6	proper	proper	
3-oxoacyl-ACP reductase	proper	proper	
B7 like protein 6	proper	proper	
DNA polymerase III PolC	proper	proper	
Carbamoyl-phosphate synthase [ammonia], mitochondrial	proper	proper	
Putative hydrolase of the HAD superfamily	proper	proper	
Cell cycle checkpoint control protein RAD9	proper	proper	
kelch domain-containing protein 8A-like	proper	proper	
Urea carboxylase	proper	proper	
DNA gyrase/topoisomerase IV, A subunit	proper	proper	
Exodeoxyribonuclease V alpha chain (Modular protein)	proper	proper	
SPP1 family phage head morphogenesis protein	proper	proper	
Zona occludens toxin (Predicted ATPase)	proper	proper	
BMA-KEL-1	proper	uninformative	protein name without associated function
Amidophosphoribosyltransferase, amidophosphoribosyltransferase	proper	proper	
Fibroblast growth factor receptor homolog 1	proper	proper	
F-box/kelch-repeat protein At2g44130-like	proper	proper	
Bacteriophage HK97-gp10-like protein	proper	uninformative	
uncharacterized protein LOC107457758	uninformative	uninformative	
Murein-DD-endopeptidase	proper	proper	
HTH lacI-type domain-containing protein	proper	proper	
Host specificity protein J, internal	proper	proper	
Exodeoxyribonuclease I	proper	proper	
DNA helicase DnaB	proper	proper	
Collar domain-containing protein	proper	proper	
Anaerobic ribonucleoside-triphosphate reductase activating protein	proper	proper	
ERI1 exoribonuclease 3	proper	proper	
Predicted HD superfamily hydrolase	proper	proper	
Type II secretion system protein GspD	proper	proper	
Unplaced genomic scaffold SPHSTscaffold_133, whole genome shotgun sequence	uninformative	uninformative	
HIR1 protein	proper	proper	
Kelch-like	proper	proper	
kelch-like protein 13	proper	proper	
Phage protein HK97 gp10	proper	uninformative	
ZYRO0G04972p	proper	uninformative	
Putative hydrolase	proper	proper	
S-adenosyl-L-methionine-dependent methyltransferase	proper	proper	
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein	proper	proper	
IclR-family protein transcriptional regulator	proper	proper	
Prophage tail length tape measure	proper	proper	
Lysyl hydroxylase/galactosyltransferase/ glucosyltransferase	proper	proper	
Mac 1	proper	proper	
5 nucleotidase deoxy cytosolic type C	proper	proper	
Prophage protein NinE	proper	uninformative	sadly, while this looks like a proper protein name, I can not find its function upon first inspection (protein annotation classification is hard)
Short-chain fatty acid transporter	proper	proper	
Putative dTDP-glucose-4,6-dehydratase-related protein	proper	proper	
Glutamine amidotransferase type 1	proper	proper	
Histone acetyltransferase HPA2	proper	proper	
Uncharacterized LOC110005458	proper	uninformative	
DNA topoisomerase-like protein cin-4	proper	proper	
RNA polymerase subunit sigma	proper	proper	
Mu Lambda phage repressor-like DNA binding protein	proper	proper	
Prophage MuSo2, major head subunit, putative	proper	proper	
Rab9 effector protein with kelch motif	proper	proper	
Phage phiSLT minor tail protein	proper	proper	
SAT1	proper	proper	
Putative endopeptidase p60	proper	proper	
Oxidoreductase, 2OG-Fe oxygenase family	proper	proper	
ATP phosphoribosyltransferase	proper	proper	
Arabinose-5-phosphate isomerase KpsF/GutQ	proper	proper	
HHH_6 domain-containing protein	proper	proper	this is a DNA binding domain
ABC-type amino acid transport system	proper	proper	
Putative RNA polymerase beta' subunit	proper	proper	
Transcriptional initiation protein Tat	proper	proper	
SNF2 family helicase	proper	proper	
Peptidoglycan-binding domain protein	proper	proper	
SleB-like protein	proper	proper	
Complement component 1, q subcomponent-like protein	proper	proper	
Ribonuclease h protein	proper	proper	
ATPase, AAA-type, CDC48 protein	proper	proper	
Phosphopantothenate--cysteine ligase 1-like protein	proper	proper	
Calcineurin-like phosphoesterase	proper	proper	
ParB family chromosome partitioning protein	proper	proper	
Host specificity protein J	proper	proper	
Rubisco activation protein CbbQ	proper	proper	
BRO, N-terminal	proper	proper	
Transglycosylase	proper	proper	
Polynucleotide 2	proper	uninformative	
Putative NinG protein	proper	proper	sadly, this one, which looks basically identical to NinE has a described function, and is a proper annotation
TOP2A topoisomerase	proper	proper	
Toxin-antitoxin system antitoxin component HicB family	proper	proper	
DNA cytosine-5--methyltransferase 3	proper	proper	
Gp27	uninformative	uninformative	
Sugar dehydrogenase	proper	proper	
Type-1 restriction enzyme R protein	proper	proper	
Deoxycytidylate deaminase-related	proper	proper	
Phage-associated portal protein	proper	proper	
SmpA/OmlA domain protein	proper	proper	
OMPdecase	proper	proper	
Leucine rich repeat-containing protein	proper	low	
Stringent starvation protein B-like protein	proper	proper	
Predicted DNA-binding protein, contains XRE-type HTH domain	proper	proper	
F-box/kelch-repeat protein SKIP11	proper	proper	
Subunit Snf22 of SWI/SNF chromatin-remodeling complex	proper	proper	
P22 coat protein Gp5	proper	proper	
Kelch like family member 8	proper	proper	
BON domain-containing protein	proper	proper	
Chloramphenicol phosphotransferase-like protein	proper	proper	
Gp26, putative	proper	uninformative	
Cell wall lytic activity protein	proper	proper	
SWI2/SNF2 ISWI-like SANT	proper	proper	
Type VI secretion system needle protein Hcp	proper	proper	
7-dehydrocholesterol reductase	proper	proper	
DnaJ subfamily B member 13	proper	proper	
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	proper	proper	
DNA (Cytosine-5-)-methyltransferase 3 alpha b	proper	proper	
Stress response protein	proper	proper	
GCN5-like N-acetyltransferase	proper	proper	
Response regulator receiver	proper	proper	
RIIA protein	proper	proper	
Uncharacterized protein DUF3380	low informative	low	
Type VI secretion system protein VasI	proper	proper	
Late control D family	proper	proper	
Ribonucleotide reductase, beta subunit	proper	proper	
3'-5' exonuclease, PolB	proper	proper	
O-methyltransferase	proper	proper	
DNA-dependent RNA polymerase/ phage-type	proper	proper	
Sodium hydrogen exchanger family protein	proper	proper	
Peptidase S8/S53	proper	proper	
FHA domain protein	proper	proper	
Ribose-phosphate pyrophosphokinase 2	proper	proper	
HAD-superfamily hydrolase, subfamily IA, variant 3	proper	proper	
Deaminase domain-containing protein 1	proper	proper	
Alkyl sulfatase BDS1-like metallo-beta-lactamase superfamily hydrolase	proper	proper	
Micrococcal nuclease-like protein	proper	proper	
aGPT-Pplase1 domain-containing protein	proper	proper	
Probable phage HK022 GP19-related protein	proper	uninformative	non official grouping
Phage-related head tail joining protein	proper	proper	
Membrane-bound metallopeptidase	proper	proper	
NT5M protein	proper	proper	
Peptidase S24/S26 domain protein	proper	proper	
Disintegrin	proper	proper	
Replication factor C subunit 2 isoform 3	proper	proper	
Beta-phosphoglucomutase	proper	proper	
RNA 3'-terminal phosphate cyclase	proper	proper	
Retrovirus-related Pol polyprotein	proper	proper	
YfjX protein	proper	proper	
PEX6 factor	proper	proper	
Helicase conserved C-terminal domain-containing protein	proper	proper	
kelch-like protein 23 isoform X2	proper	proper	
Gp33 TerL	proper	proper	
GGDEF protein	proper	proper	
Putative flagellar modification protein FlaG/FlmH	proper	proper	
Major tail tube protein	proper	proper	
BRO domain-containing protein	proper	proper	
Ig-like_bact domain-containing protein	proper	proper	
Putative antitoxin of toxin-antitoxin system, YdaS/YdaT	proper	proper	
Smr domain protein	proper	proper	
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	proper	proper	
SPbeta prophage-derived uncharacterized protein YonJ	proper	proper	
Uncharacterized protein involved in copper resistance	proper	proper	
RecA DNA recombination family protein	proper	proper	
Ribose-phosphate pyrophosphoKinase	proper	proper	
Acyl-coa synthetase	proper	proper	
Dual specificity phosphatase	proper	proper	
Putative prophage MuSo1, transcriptional regulator, Cro/CI family	proper	proper	
Predicted hydrolase	proper	proper	
Peptidase U35 family protein	proper	proper	
Kelch-like family member 23	proper	proper	
Transcription regulator iclr n-terminal	proper	proper	
Peroxiredoxin	proper	proper	
Collagen alpha-1(XX) chain	proper	proper	
Cytochrome C biogenesis protein CycH	proper	proper	
KLH31 protein	proper	proper	
CRE-PHB-2 protein	proper	proper	
DNA-(apurinic or apyrimidinic site) lyase	proper	proper	
Orf933	uninformative	uninformative	
Phage tail tube protein, TTP	proper	proper	
Putative suh protein	proper	proper	
N-acetylmuramidase	proper	proper	
uncharacterized protein LOC107408269	uninformative	uninformative	
KpsF	proper	proper	
Helix-turn-helix protein domain of transposase family ISL3	proper	proper	
Chromosome partitioning protein CDS	proper	proper	
Permease	proper	proper	
ArmO	proper	proper	
Sak2	proper	proper	
Putative antirepressor protein (Ant)	proper	proper	
DNA repair protein recA homolog 1ic	proper	proper	
putative F-box/kelch-repeat protein At4g35120	proper	proper	
Portal protein, lambda family,phage portal protein, lambda family,Phage portal protein, lambda family	proper	proper	
PF09979 family protein	proper	low	
MoxR family ATPase	proper	proper	
Replication factor C, subunit 4	proper	proper	
Ig-like domain, group 2	proper	proper	
Probable thermophilic glucose-6-phosphate isomerase and related metalloenzymes	proper	proper	
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a	proper	proper	
Bacteriophage baseplate assembly protein W	proper	proper	
Periplasmic protein: Putative periplasmic protein	proper	low	only gives information on cellular location, not on function
Intronic ORF at intron 4 of cox1	proper	uninformative	
Sterol-4alpha-carboxylate 3-dehydrogenase (Decarboxylating)	proper	proper	
DDE_Tnp_1 domain-containing protein	proper	proper	
5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein	proper	proper	
Aspartyl/asparaginyl beta-hydroxylase domain-containing protein	proper	proper	
Glucagon receptor	proper	proper	
Glycine/D-amino acid oxidase	proper	proper	
uncharacterized protein LOC103077972	uninformative	uninformative	
Chaperone BCS1	proper	proper	
Protein KTI12	proper	proper	
Plastocyanin-like domain-containing protein	proper	proper	
Stomatin like 2	proper	proper	
Methylthioribulose-1-phosphate dehydratase	proper	proper	
DNA_pol3_beta_3 domain-containing protein	proper	proper	
Dna repair protein rhp51	proper	proper	
Cytochrome C biogenesis protein CcmE	proper	proper	
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	proper	proper	
Type II and III secretion system protein RhcC2	proper	proper	
Putative DUF1833 protein	low informative	low	
Putative prophage PSSB64-02, tail length tape-measure protein	proper	proper	
Probable ATP-dependent helicase dinG homolog	proper	proper	
Cell wall/surface repeat-containing protein	proper	low	
